brand,product,url,description,imgSrc,imgAlt,name,specific,colorspace,hex,hue,sat,lightness
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,355N (medium skin with a neutral golden undertone)  selected,https://images.ulta.com/is/image/Ulta/2551437sw?$tn$,355N (medium skin with a neutral golden undertone),NA,355N,RGB,#A06F4A,25.81395349,0.367521368,0.458823529
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,100N (very fair skin with a neutral undertone),https://images.ulta.com/is/image/Ulta/2551414sw?$50px$,100N (very fair skin with a neutral undertone),NA,100N,RGB,#F1E7DB,32.72727273,0.44,0.901960784
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,110C (very fair skin with a cool undertone),https://images.ulta.com/is/image/Ulta/2551412sw?$50px$,110C (very fair skin with a cool undertone),NA,110C,RGB,#F0E7DB,34.28571429,0.411764706,0.9
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,120W (very fair skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551419sw?$50px$,120W (very fair skin with a warm undertone),NA,120W,RGB,#EFD0AE,31.38461538,0.670103093,0.809803922
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,130N (very fair skin with a neutral pink undertone),https://images.ulta.com/is/image/Ulta/2551416sw?$50px$,130N (very fair skin with a neutral pink undertone),NA,130N,RGB,#D5C1AA,32.09302326,0.338582677,0.750980392
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,140N (fair skin with a neutral peach undertone),https://images.ulta.com/is/image/Ulta/2551415sw?$50px$,140N (fair skin with a neutral peach undertone),NA,140N,RGB,#DBC2A9,30,0.409836066,0.760784314
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,150W (fair skin with a warm beige undertone),https://images.ulta.com/is/image/Ulta/2551418sw?$50px$,150W (fair skin with a warm beige undertone),NA,150W,RGB,#EFCDA8,31.26760563,0.689320388,0.798039216
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,160C (fair skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551417sw?$50px$,160C (fair skin with a cool golden undertone),NA,160C,RGB,#DEC5A7,32.72727273,0.454545455,0.762745098
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,200W (light skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551420sw?$50px$,200W (light skin with a warm undertone),NA,200W,RGB,#EDCAA1,32.36842105,0.678571429,0.780392157
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,210N (light skin with a neutral golden undertone),https://images.ulta.com/is/image/Ulta/2551423sw?$50px$,210N (light skin with a neutral golden undertone),NA,210N,RGB,#E8C9AA,30,0.574074074,0.788235294
Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,220N (light skin with a neutral peach undertone),https://images.ulta.com/is/image/Ulta/2551421sw?$50px$,220N (light skin with a neutral peach undertone),NA,220N,RGB,#D5B596,29.52380952,0.428571429,0.711764706
